"TE06101-05","7","Informática","1","30","2580","9","6.25","7.75",,"7.00","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TE06101-10","7","Informática","1","30","2630","6","7.50","6.50",,"7.00","AM","2008-01-26","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TE06101-01","7","Informática","1","30","2546","39","1.25","0.00",,"0.63","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TE06101-03","7","Informática","1","30","2566","6","7.50","0.00",,"3.75","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TT06101-01","7","Informática","1","30","2817","27","6.00","0.00",,"3.00","AB","0000-00-00","Técnico em Telecomunicações","191/2005-CEE","4","007.0601.01"
"TE06101-12","7","Informática","1","30","2650","18","9.00","0.00",,"4.50","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TE06101-16","7","Informática","1","30","2678","27","6.00","0.00",,"3.00","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TE06101-05","1","Eletrônica Analógica","1","60","2582","12","6.00","0.00","5.10","4.05","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","001.0601.01"
"TT06101-01","1","Eletrônica Analógica","1","60","2819","15","6.00","0.00",,"3.00","AB","0000-00-00","Técnico em Telecomunicações","191/2005-CEE","4","001.0601.01"
"TE06101-10","1","Eletrônica Analógica","1","60","2632","3","8.00","6.00",,"7.00","AM","2008-01-26","Técnico em Eletrônica","157/2006-CEE","4","001.0601.01"
"TT06101-12","1","Eletrônica Analógica","1","60","2929","36","0.00","0.00",,"0.00","AB","0000-00-00","Técnico em Telecomunicações","191/2005-CEE","4","001.0601.01"
"TE06101-12","1","Eletrônica Analógica","1","60","2652","9","8.50","6.50",,"7.50","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","001.0601.01"
"TE06101-16","1","Eletrônica Analógica","1","60","2680","36","7.00","0.00",,"3.50","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","001.0601.01"
"TT06101-02","1","Eletrônica Analógica","1","60","2829","3","8.50","5.50",,"7.00","AM","2008-03-28","Técnico em Telecomunicações","191/2005-CEE","4","001.0601.01"
"TE06101-17","1","Eletrônica Analógica","1","60","2684","15","9.00","5.00",,"7.00","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","001.0601.01"
"TT06101-16","1","Eletrônica Analógica","1","60","2945","15","8.00","0.00",,"4.00","AB","0000-00-00","Técnico em Telecomunicações","191/2005-CEE","4","001.0601.01"
"TE06101-36","1","Eletrônica Analógica","1","60","2815","27","0.00","0.00",,"0.00","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","001.0601.01"
"TT06101-18","1","Eletrônica Analógica","1","60","2953","42","0.00","0.00",,"0.00","AB","0000-00-00","Técnico em Telecomunicações","191/2005-CEE","4","001.0601.01"
"TE06101-36","7","Informática","1","30","2813","27","4.25","0.00",,"2.13","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TT06101-14","7","Informática","1","30","2935","39","0.00","0.00",,"0.00","AB","0000-00-00","Técnico em Telecomunicações","191/2005-CEE","4","007.0601.01"
"TT06101-02","7","Informática","1","30","2827","6","7.75","7.75",,"7.75","AM","2008-03-28","Técnico em Telecomunicações","191/2005-CEE","4","007.0601.01"
"TE06101-18","7","Informática","1","30","2692","6","5.50","8.50",,"7.00","AM","2009-03-16","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TT07102-20","7","Informática","1","30","2847","6","7.00","7.00",,"7.00","AM","2010-02-15","Técnico em Telecomunicações","191/2005-CEE","4","007.0601.01"
"TE06101-34","7","Informática","1","30","2805","3","6.50","6.50","7.00","6.75","AP","2008-04-03","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TE06101-20","7","Informática","1","30","2712","27","0.00","0.00",,"0.00","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TE06101-21","7","Informática","1","30","2722","3","7.00","7.50",,"7.25","AM","2011-06-21","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TE06101-24","7","Informática","1","30","2752","6","7.00","7.00",,"7.00","AM","2008-01-24","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TE06101-25","7","Informática","1","30","2762","6","8.00","8.00",,"8.00","AM","2010-03-18","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TE06101-26","7","Informática","1","30","2772","27","1.00","1.00",,"1.00","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TT06101-06","7","Informática","1","30","2867","6","7.50","8.50",,"8.00","AM","2008-07-01","Técnico em Telecomunicações","191/2005-CEE","4","007.0601.01"
"TT06101-20","7","Informática","1","30","2959","33","0.00","0.00",,"0.00","AB","0000-00-00","Técnico em Telecomunicações","191/2005-CEE","4","007.0601.01"
"TE06101-38","7","Informática","1","30","2907","0","9.50","9.50",,"9.50","AM","2008-04-19","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TE06101-29","7","Informática","1","30","2785","6","8.00","6.00",,"7.00","AM","2009-03-12","Técnico em Eletrônica","157/2006-CEE","4","007.0601.01"
"TE06102-04","7","Informática","1","30","1353","7","8.50","6.00",,"7.25","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","007.0608.01"
"TE06102-06","7","Informática","1","30","1367","0","10.00","10.00",,"10.00","AM","2008-03-13","Técnico em Eletrônica","157/2006-CEE","4","007.0608.01"
"TE06102-07","7","Informática","1","30","1374","6","7.75","7.75",,"7.75","AM","2008-03-13","Técnico em Eletrônica","157/2006-CEE","4","007.0608.01"
"TT06102-04","7","Informática","1","30","1234","6","7.00","7.00",,"7.00","AB","0000-00-00","Técnico em Telecomunicações","191/2005-CEE","4","007.0608.01"
"TE06102-10","7","Informática","1","30","1395","3","9.50","9.00",,"9.25","AM","2011-12-27","Técnico em Eletrônica","157/2006-CEE","4","007.0608.01"
"TE06102-16","7","Informática","1","30","1445","6","6.00","4.00",,"5.00","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","007.0608.01"
"TE06102-20","7","Informática","1","30","1473","6","8.00","8.00",,"8.00","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","007.0608.01"
"TE06102-21","7","Informática","1","30","1480","6","9.50","9.50",,"9.50","AB","0000-00-00","Técnico em Eletrônica","157/2006-CEE","4","007.0608.01"
